player_id,bd_adr,area,gender,body_type,height,meas_id,weight,weightzero,body_fat_per,mslq,ram_r_50khz,ram_r_625khz,ram_x_50khz,ram_x_625khz,lam_r_50khz,lam_r_625khz,lam_x_50khz,lam_x_625khz,rlg_r_50khz,rlg_r_625khz,rlg_x_50khz,rlg_x_625khz,llg_r_50khz,llg_r_625khz,llg_x_50khz,llg_x_625khz,rbd_r_50khz,rbd_r_625khz,rbd_x_50khz,rbd_x_625khz,lbd_r_50khz,lbd_r_625khz,lbd_x_50khz,lbd_x_625khz,wam_r_50khz,wam_r_625khz,wam_x_50khz,wam_x_625khz,wlg_r_50khz,wlg_r_625khz,wlg_x_50khz,wlg_x_625khz,eppulse,eppulsej,temp
4,5CEC84E8FE10,tokyo,0,0,178,59200656,27.85,12045,5,63,327.2,371.5,-36.3,-18.5,343.9,388.4,-32.2,-14.7,211.6,244.4,-23.6,-12.3,209.1,241.3,-23.6,-11,558.3,640.1,-61.9,-30.5,570.8,651.1,-62,-30.6,627,708.6,-70.4,-33.6,417.7,484.3,-48.9,-23.7,71,0,480
4,5CEC84E8FE10,tokyo,1,0,157.5,62389442,58.8,11847,30.7,94,356.2,404,-36.8,-21.5,351.4,397.7,-31.5,-13.3,293.5,338.7,-28,-14.6,297.9,344.6,-29,-18.6,678.5,776,-68.9,-39,678.1,772.7,-68.2,-40.4,668.8,753.8,-67.5,-40.2,589,681.8,-64.7,-36.6,91,0,412
4,5CEC84E8FE10,tokyo,1,0,157.5,62520141,60.8,11851,32.3,80,349.1,397.6,-33.3,-19.5,334.7,379,-29.3,-12.3,255.8,290.6,-22.8,-13.4,256.2,290.1,-23,-10.7,631,714.6,-60.8,-35.1,618.5,696,-57.6,-32.7,648.8,726.3,-62.9,-38,509.2,579,-52,-25.2,89,0,428
4,5CEC84E8FE10,tokyo,1,0,157.5,62538334,60.65,11850,32.2,79,358,406.5,-34.7,-20.1,344.6,390.6,-31.5,-14.7,238.7,271.1,-22.3,-12,244.5,278.3,-23.1,-12,624.1,705.3,-59.7,-34.8,619,696.5,-57.1,-36.6,654.8,741.2,-67.6,-37,483.7,550.4,-48.9,-25.8,-1,0,428
4,5CEC84E8FE10,tokyo,1,0,157.5,62623997,59.25,11848,30.9,89,353.1,397.1,-32.6,-19.6,338.9,384.8,-28.8,-14.4,273,319,-27,-11.3,273.3,314.5,-27.8,-24.4,654.1,748.3,-65.5,-39.5,646.6,728,-61.9,-51.2,653.7,732,-61.6,-37.5,551.3,636.9,-60.3,-44.3,-1,0,422
4,5CEC84E8FE10,tokyo,1,0,157.5,62820635,59.05,11848,29.7,93,352.1,398.1,-33,-20.2,331.8,379.3,-31.3,-14.8,284.1,331.4,-27.9,-16.3,290,338.5,-28.7,-20,661.4,759.8,-68.1,-38.7,652,751,-66.7,-42.9,645.1,729.8,-64.7,-38.1,571.8,666.7,-63.8,-38.7,85,0,422
4,5CEC84E8FE10,tokyo,1,0,157.5,62906538,60,11846,32,86,365.8,419.7,-38.4,-23.9,332.9,383.3,-31.6,-18.4,269,308.2,-24.6,-10.8,271,305.4,-24.1,-14.4,665.6,760.8,-67.2,-39.8,647.9,729.2,-58.9,-38.4,686.9,778.5,-63.4,-47.6,537.7,609.5,-55.7,-29.2,-1,0,420
4,5CEC84E8FE10,tokyo,1,0,157.5,62919085,59.35,11851,29.7,86,340.8,391.1,-35.6,-20.4,332.7,379.5,-31.7,-14.2,268.2,306.6,-24.3,-13.6,264.6,301.4,-24.5,-13.3,635,728.5,-66.2,-36.8,624.7,712.1,-62.4,-36.1,632.9,719.5,-68.2,-38.1,529.6,606.1,-55.2,-28.9,-1,0,423
4,5CEC84E8FE10,tokyo,1,0,157.5,63051117,58.95,11842,30.7,92,358.8,408.3,-33.9,-21.3,345.5,391.3,-28.9,-13.1,296.4,346.7,-29.8,-18.1,300.8,352.7,-30.9,-20.3,682.8,787.8,-71.1,-41.6,678.3,777.2,-67,-41.6,667.6,750.4,-64.5,-38.9,595.1,697.6,-68.9,-40.5,90,0,410
4,5CEC84E8FE10,tokyo,1,0,157.5,63300565,59,11846,30.6,93,355.7,407,-35.6,-21.9,341.2,390.9,-30.4,-14.7,282.9,326.7,-27.4,-12,291.9,339.6,-29.1,-22.7,668.5,766.8,-68.9,-40,670.8,763.8,-65.4,-46.7,663.4,749.4,-65.5,-41.2,577.4,668.5,-63.5,-39.9,-1,0,419
4,5CEC84E8FE10,tokyo,1,0,157.5,63356514,59.4,11843,30.9,91,355.7,407.6,-35.9,-22.3,353,401,-30.6,-15.5,280.8,324.5,-26.7,-16.8,277.6,318.7,-26.3,-13,664.9,763,-66.9,-44.1,659.9,750.5,-63.7,-40.5,665.9,756.4,-68.6,-40.9,555.8,641.1,-59.9,-31.5,94,0,418
4,5CEC84E8FE10,tokyo,1,0,157.5,63367233,59.35,11845,30.5,91,357.5,407.6,-35.6,-21,344.8,392.9,-31.8,-14.3,275.4,319.9,-26.3,-9.1,290.4,331.7,-28.7,-25.3,661.7,759.3,-67.6,-40.4,661.6,756.1,-66.1,-47.7,661.3,748.7,-67.2,-40.2,563,652.6,-61.9,-41.5,80,0,418
4,5CEC84E8FE10,tokyo,1,0,157.5,63586378,59,11842,29,93,334.1,379.7,-34.5,-20.4,338,385,-31.5,-16.2,280.1,328.7,-28.3,-12.7,290.1,339.1,-29.3,-22.6,644.6,743,-67,-39.9,657.5,758.8,-69.4,-48.5,630.4,716.1,-66.5,-38.4,571.3,667.2,-64.8,-42.1,102,0,411
